Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Abejorral,16,0.412%,6,0.155%,10,0.258%
Abriaquí,0,0%,0,0%,0,0%
Alejandría,2,0.207%,0,0%,2,0.207%
Amagá,33,0.59%,7,0.125%,26,0.465%
Amalfi,50,0.872%,14,0.244%,36,0.628%
Andes,71,0.832%,11,0.129%,60,0.703%
Angelópolis,7,0.713%,1,0.102%,6,0.611%
Angostura,20,0.753%,4,0.151%,16,0.602%
Anorí,48,0.924%,15,0.289%,33,0.635%
Anzá,8,0.474%,3,0.178%,5,0.297%
Apartadó,230,0.727%,64,0.202%,166,0.525%
Arboletes,45,0.525%,8,0.093%,37,0.432%
Argelia,6,0.303%,3,0.152%,3,0.152%
Armenia,3,0.481%,2,0.321%,1,0.16%
Barbosa,52,0.57%,8,0.088%,44,0.482%
Bello,498,0.462%,136,0.126%,362,0.336%
Belmira,6,0.413%,0,0%,6,0.413%
Betania,12,0.544%,1,0.045%,11,0.499%
Betulia,20,0.474%,2,0.047%,18,0.427%
Briceño,5,0.28%,0,0%,5,0.28%
Buriticá,17,0.668%,3,0.118%,14,0.551%
Cáceres,7,0.355%,1,0.051%,6,0.304%
Caicedo,99,0.701%,26,0.184%,73,0.517%
Caldas,8,0.293%,2,0.073%,6,0.22%
Campamento,5,0.631%,2,0.252%,3,0.379%
Cañasgordas,6,0.708%,1,0.118%,5,0.59%
Caracolí,99,0.643%,22,0.143%,77,0.5%
Caramanta,3,0.543%,1,0.181%,2,0.362%
Carepa,274,1.012%,49,0.181%,225,0.831%
Carolina,20,0.632%,3,0.095%,17,0.537%
Caucasia,139,0.783%,35,0.197%,104,0.586%
Chigorodó,11,0.526%,1,0.048%,10,0.478%
Cisneros,56,1.058%,8,0.151%,48,0.906%
Ciudad Bolívar,18,0.458%,5,0.127%,13,0.331%
Cocorná,1,0.111%,0,0%,1,0.111%
Concepción,24,0.714%,2,0.059%,22,0.654%
Concordia,71,0.471%,16,0.106%,55,0.365%
Copacabana,63,0.633%,15,0.151%,48,0.482%
Dabeiba,44,0.499%,12,0.136%,32,0.363%
Donmatías,27,0.805%,6,0.179%,21,0.626%
Ebéjico,10,0.449%,0,0%,10,0.449%
El Bagre,137,0.726%,31,0.164%,106,0.561%
El Carmen De Viboral,61,0.442%,16,0.116%,45,0.326%
El Santuario,65,0.736%,20,0.226%,45,0.51%
Entrerríos,7,0.306%,3,0.131%,4,0.175%
Envigado,128,0.387%,28,0.085%,100,0.303%
Fredonia,23,0.68%,5,0.148%,18,0.532%
Frontino,32,0.467%,10,0.146%,22,0.321%
Giraldo,9,0.625%,2,0.139%,7,0.486%
Girardota,47,0.47%,15,0.15%,32,0.32%
