Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Almeida,1,0.404%,1,0.404%,0,0%
Aquitania,18,0.461%,4,0.102%,14,0.358%
Arcabuco,8,0.521%,0,0%,8,0.521%
Belén,7,0.384%,1,0.055%,6,0.329%
Berbeo,0,0%,0,0%,0,0%
Betéitiva,1,0.325%,0,0%,1,0.325%
Boavita,5,0.489%,0,0%,5,0.489%
Boyacá,11,0.942%,6,0.514%,5,0.428%
Briceño,0,0%,0,0%,0,0%
Buenavista,7,0.79%,1,0.113%,6,0.677%
Busbanzá,2,0.777%,1,0.388%,1,0.388%
Caldas,1,0.14%,0,0%,1,0.14%
Campohermoso,2,0.334%,0,0%,2,0.334%
Cerinza,3,0.404%,2,0.269%,1,0.135%
Chinavita,5,0.904%,0,0%,5,0.904%
Chiquinquirá,94,0.674%,13,0.093%,81,0.581%
Chíquiza,0,0%,0,0%,0,0%
Chiscas,12,0.512%,3,0.128%,9,0.384%
Chita,15,1.236%,2,0.165%,13,1.071%
Chitaraque,0,0%,0,0%,0,0%
Chivatá,0,0%,0,0%,0,0%
Chivor,2,0.201%,1,0.101%,1,0.101%
Ciénega,2,0.169%,2,0.169%,0,0%
Cómbita,2,0.304%,0,0%,2,0.304%
Coper,1,0.165%,0,0%,1,0.165%
Corrales,6,0.935%,3,0.468%,3,0.468%
Covarachía,10,0.209%,6,0.125%,4,0.083%
Cubará,8,0.951%,0,0%,8,0.951%
Cucaita,3,0.726%,0,0%,3,0.726%
Cuítiva,8,0.337%,2,0.084%,6,0.253%
Duitama,181,0.637%,48,0.169%,133,0.468%
El Cocuy,2,0.192%,1,0.096%,1,0.096%
El Espino,2,0.325%,0,0%,2,0.325%
Firavitoba,4,0.255%,0,0%,4,0.255%
Floresta,1,0.155%,1,0.155%,0,0%
Gachantivá,4,0.559%,2,0.28%,2,0.28%
Gámeza,28,0.875%,4,0.125%,24,0.75%
Garagoa,1,0.252%,0,0%,1,0.252%
Guacamayas,11,0.665%,2,0.121%,9,0.544%
Guateque,2,0.411%,0,0%,2,0.411%
Guayatá,7,0.55%,1,0.079%,6,0.471%
Güicán De La Sierra,2,0.179%,2,0.179%,0,0%
Iza,2,0.394%,1,0.197%,1,0.197%
Jenesano,5,0.308%,0,0%,5,0.308%
Jericó,3,0.336%,0,0%,3,0.336%
La Capilla,2,0.473%,0,0%,2,0.473%
La Uvita,2,0.347%,2,0.347%,0,0%
La Victoria,2,1.387%,0,0%,2,1.387%
Labranzagrande,1,0.218%,1,0.218%,0,0%
Macanal,3,0.42%,1,0.14%,2,0.28%
Maripí,3,0.265%,0,0%,3,0.265%
Miraflores,10,0.572%,7,0.4%,3,0.171%
Mongua,3,0.242%,2,0.162%,1,0.081%
Monguí,8,0.875%,4,0.437%,4,0.437%
Moniquirá,39,0.774%,13,0.258%,26,0.516%
Motavita,4,0.273%,0,0%,4,0.273%
Muzo,12,0.59%,1,0.049%,11,0.541%
Nobsa,21,0.607%,6,0.173%,15,0.433%
Nuevo Colón,3,0.241%,0,0%,3,0.241%
Oicatá,3,0.445%,0,0%,3,0.445%
Otanche,6,0.358%,2,0.119%,4,0.239%
Pachavita,0,0%,0,0%,0,0%
Páez,54,0.662%,14,0.172%,40,0.49%
Paipa,4,0.967%,0,0%,4,0.967%
Pajarito,0,0%,0,0%,0,0%
Panqueba,7,0.588%,1,0.084%,6,0.504%
Pauna,0,0%,0,0%,0,0%
Paya,4,0.452%,2,0.226%,2,0.226%
Paz De Río,5,0.29%,1,0.058%,4,0.232%
Pesca,3,0.659%,1,0.22%,2,0.439%
Pisba,91,0.732%,27,0.217%,64,0.515%
Puerto Boyacá,2,0.289%,0,0%,2,0.289%
Quípama,2,0.291%,1,0.145%,1,0.145%
Ramiriquí,15,0.637%,3,0.127%,12,0.509%
Ráquira,2,0.401%,1,0.201%,1,0.201%
Rondón,7,0.542%,0,0%,7,0.542%
Saboyá,7,0.238%,1,0.034%,6,0.204%
Sáchica,38,0.668%,11,0.193%,27,0.475%
Samacá,0,0%,0,0%,0,0%
San Eduardo,3,0.316%,2,0.211%,1,0.105%
San José De Pare,4,0.386%,0,0%,4,0.386%
San Luis De Gaceno,2,0.291%,0,0%,2,0.291%
San Mateo,2,0.277%,0,0%,2,0.277%
San Miguel De Sema,4,0.331%,2,0.165%,2,0.165%
San Pablo De Borbur,1,0.162%,0,0%,1,0.162%
Santa María,7,0.282%,1,0.04%,6,0.242%
Santa Rosa De Viterbo,1,0.138%,0,0%,1,0.138%
Santa Sofía,12,0.704%,1,0.059%,11,0.646%
Santana,5,1.302%,2,0.521%,3,0.781%
Sativanorte,2,0.778%,1,0.389%,1,0.389%
Sativasur,3,0.148%,0,0%,3,0.148%
Siachoque,4,0.179%,2,0.09%,2,0.09%
Soatá,16,0.726%,2,0.091%,14,0.636%
Socha,8,0.436%,0,0%,8,0.436%
Socotá,190,0.655%,41,0.141%,149,0.513%
Sogamoso,1,0.299%,0,0%,1,0.299%
Somondoco,0,0%,0,0%,0,0%
Sora,9,0.492%,3,0.164%,6,0.328%
Soracá,17,0.738%,6,0.26%,11,0.477%
Sotaquirá,3,0.737%,0,0%,3,0.737%
Susacón,8,0.533%,1,0.067%,7,0.467%
Sutamarchán,3,0.442%,0,0%,3,0.442%
Sutatenza,11,0.726%,5,0.33%,6,0.396%
Tasco,11,0.868%,2,0.158%,9,0.71%
Tenza,3,0.499%,0,0%,3,0.499%
Tibaná,5,0.264%,3,0.158%,2,0.106%
Tibasosa,6,0.239%,1,0.04%,5,0.199%
Tinjacá,0,0%,0,0%,0,0%
Tipacoque,2,0.274%,0,0%,2,0.274%
Toca,13,0.49%,3,0.113%,10,0.377%
Togüí,11,0.921%,0,0%,11,0.921%
Tópaga,9,0.74%,3,0.247%,6,0.493%
Tota,254,0.625%,60,0.148%,194,0.477%
Tunja,2,0.488%,0,0%,2,0.488%
Tununguá,7,0.504%,1,0.072%,6,0.432%
Turmequé,9,0.416%,1,0.046%,8,0.37%
Tuta,2,0.473%,0,0%,2,0.473%
Tutazá,8,0.816%,0,0%,8,0.816%
Úmbita,17,0.431%,5,0.127%,12,0.304%
Ventaquemada,16,0.418%,4,0.105%,12,0.314%
Villa De Leyva,3,0.53%,1,0.177%,2,0.354%
Viracachá,2,0.168%,1,0.084%,1,0.084%
Zetaquira,4,0.272%,0,0%,4,0.272%
