Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Aguazul,56,0.547%,17,0.166%,39,0.381%
Chámeza,0,0%,0,0%,0,0%
Hato Corozal,11,0.242%,6,0.132%,5,0.11%
La Salina,0,0%,0,0%,0,0%
Maní,28,0.632%,7,0.158%,21,0.474%
Monterrey,27,0.595%,4,0.088%,23,0.507%
Nunchía,5,0.194%,2,0.077%,3,0.116%
Orocué,18,0.576%,1,0.032%,17,0.544%
Paz De Ariporo,56,0.456%,17,0.138%,39,0.317%
Pore,22,0.531%,4,0.097%,18,0.434%
Recetor,0,0%,0,0%,0,0%
Sabanalarga,3,0.354%,1,0.118%,2,0.236%
Sácama,16,0.655%,2,0.082%,14,0.573%
San Luis De Palenque,1,0.185%,1,0.185%,0,0%
Támara,51,0.698%,19,0.26%,32,0.438%
Tauramena,23,0.558%,4,0.097%,19,0.461%
Trinidad,5,0.222%,0,0%,5,0.222%
Villanueva,48,0.457%,10,0.095%,38,0.362%
Yopal,503,1.043%,124,0.257%,379,0.786%
