Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Almaguer,6,0.146%,2,0.049%,4,0.097%
Argelia,46,0.504%,3,0.033%,43,0.471%
Balboa,24,0.51%,6,0.128%,18,0.383%
Bolívar,24,0.305%,3,0.038%,21,0.267%
Buenos Aires,34,0.401%,7,0.083%,27,0.319%
Cajibío,37,0.401%,8,0.087%,29,0.314%
Caldono,32,0.224%,9,0.063%,23,0.161%
Caloto,37,0.58%,5,0.078%,32,0.501%
Corinto,67,1.145%,12,0.205%,55,0.94%
El Tambo,79,0.725%,17,0.156%,62,0.569%
Florencia,7,0.558%,2,0.159%,5,0.398%
Guachené,17,0.306%,4,0.072%,13,0.234%
Guapi,30,0.347%,13,0.15%,17,0.196%
Inzá,21,0.224%,3,0.032%,18,0.192%
Jambaló,8,0.136%,4,0.068%,4,0.068%
La Sierra,4,0.173%,2,0.086%,2,0.086%
La Vega,9,0.236%,3,0.079%,6,0.158%
López De Micay,2,0.028%,1,0.014%,1,0.014%
Mercaderes,22,0.63%,4,0.115%,18,0.516%
Miranda,48,0.698%,7,0.102%,41,0.597%
Morales,26,0.255%,6,0.059%,20,0.196%
Padilla,14,0.608%,3,0.13%,11,0.478%
Páez,82,0.963%,11,0.129%,71,0.834%
Patía,6,0.184%,0,0%,6,0.184%
Piamonte,52,0.597%,13,0.149%,39,0.448%
Piendamó - Tunía,431,0.7%,83,0.135%,348,0.565%
Popayán,89,0.872%,22,0.216%,67,0.656%
Puerto Tejada,7,0.155%,2,0.044%,5,0.111%
Puracé,56,0.351%,12,0.075%,44,0.276%
Rosas,7,0.353%,1,0.05%,6,0.302%
San Sebastián,2,0.096%,0,0%,2,0.096%
Santa Rosa,1,0.07%,0,0%,1,0.07%
Santander De Quilichao,206,0.762%,54,0.2%,152,0.562%
Silvia,24,0.222%,10,0.093%,14,0.13%
Sotará - Paispamba,3,0.113%,2,0.075%,1,0.038%
Suárez,2,0.146%,1,0.073%,1,0.073%
Sucre,43,0.687%,8,0.128%,35,0.56%
Timbío,6,0.062%,2,0.021%,4,0.041%
Timbiquí,45,0.558%,9,0.112%,36,0.447%
Toribío,40,0.383%,13,0.125%,27,0.259%
Totoró,18,0.241%,5,0.067%,13,0.174%
Villa Rica,22,0.409%,7,0.13%,15,0.279%
