Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Aguachica,236,0.75%,56,0.178%,180,0.572%
Agustín Codazzi,99,0.469%,28,0.133%,71,0.336%
Astrea,29,0.418%,5,0.072%,24,0.346%
Becerril,31,0.353%,12,0.137%,19,0.216%
Bosconia,102,0.702%,23,0.158%,79,0.543%
Chimichagua,29,0.247%,7,0.06%,22,0.187%
Chiriguaná,65,0.63%,16,0.155%,49,0.475%
Curumaní,79,0.597%,15,0.113%,64,0.483%
El Copey,58,0.538%,11,0.102%,47,0.436%
El Paso,69,0.45%,16,0.104%,53,0.346%
Gamarra,16,0.436%,3,0.082%,13,0.354%
González,4,0.593%,1,0.148%,3,0.445%
La Gloria,12,0.233%,5,0.097%,7,0.136%
La Jagua De Ibirico,64,0.411%,17,0.109%,47,0.302%
La Paz,35,0.356%,10,0.102%,25,0.254%
Manaure Balcón Del Cesar,10,0.305%,4,0.122%,6,0.183%
Pailitas,58,0.984%,10,0.17%,48,0.814%
Pelaya,53,0.758%,12,0.172%,41,0.586%
Pueblo Bello,13,0.114%,4,0.035%,9,0.079%
Río De Oro,16,0.382%,5,0.12%,11,0.263%
San Alberto,44,0.549%,16,0.199%,28,0.349%
San Diego,30,0.44%,6,0.088%,24,0.352%
San Martín,43,0.595%,10,0.138%,33,0.456%
Tamalameque,22,0.413%,5,0.094%,17,0.319%
Valledupar,"1,168",0.742%,349,0.222%,819,0.52%
