Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Acevedo,66,0.766%,18,0.209%,48,0.557%
Agrado,14,0.52%,5,0.186%,9,0.334%
Aipe,19,0.482%,9,0.228%,10,0.254%
Algeciras,54,0.885%,18,0.295%,36,0.59%
Altamira,2,0.189%,2,0.189%,0,0%
Baraya,11,0.534%,4,0.194%,7,0.34%
Campoalegre,47,0.589%,12,0.15%,35,0.438%
Colombia,5,0.265%,0,0%,5,0.265%
Elías,3,0.27%,1,0.09%,2,0.18%
Garzón,134,0.685%,46,0.235%,88,0.45%
Gigante,28,0.451%,7,0.113%,21,0.338%
Guadalupe,19,0.366%,3,0.058%,16,0.309%
Hobo,14,0.689%,5,0.246%,9,0.443%
Íquira,37,0.512%,10,0.138%,27,0.373%
Isnos,14,0.316%,5,0.113%,9,0.203%
La Argentina,112,0.618%,30,0.166%,82,0.453%
La Plata,865,1.088%,210,0.264%,655,0.824%
Nátaga,11,0.518%,2,0.094%,9,0.424%
Neiva,9,0.215%,3,0.072%,6,0.143%
Oporapa,10,0.482%,5,0.241%,5,0.241%
Paicol,27,0.426%,7,0.11%,20,0.316%
Palermo,15,0.44%,6,0.176%,9,0.264%
Palestina,18,0.397%,6,0.132%,12,0.265%
Pital,321,0.894%,77,0.215%,244,0.68%
Pitalito,33,0.507%,8,0.123%,25,0.384%
Rivera,16,0.448%,7,0.196%,9,0.252%
Saladoblanco,33,0.364%,10,0.11%,23,0.254%
San Agustín,14,0.429%,5,0.153%,9,0.276%
Santa María,40,0.673%,13,0.219%,27,0.454%
Suaza,19,0.364%,3,0.058%,16,0.307%
Tarqui,14,0.534%,5,0.191%,9,0.343%
Tello,13,0.614%,4,0.189%,9,0.425%
Teruel,15,0.501%,3,0.1%,12,0.401%
Tesalia,27,0.436%,11,0.178%,16,0.258%
Timaná,7,0.398%,2,0.114%,5,0.284%
Villavieja,6,0.352%,1,0.059%,5,0.293%
Yaguará,12,0.41%,0,0%,12,0.41%
