Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Albania,20,0.172%,6,0.052%,14,0.12%
Barrancas,54,0.52%,11,0.106%,43,0.414%
Dibulla,29,0.165%,11,0.063%,18,0.102%
Distracción,15,0.369%,3,0.074%,12,0.295%
El Molino,10,0.53%,3,0.159%,7,0.371%
Fonseca,100,0.651%,30,0.195%,70,0.456%
Hatonuevo,24,0.347%,6,0.087%,18,0.26%
La Jagua Del Pilar,1,0.1%,0,0%,1,0.1%
Maicao,728,1.069%,223,0.327%,505,0.741%
Manaure,26,0.066%,10,0.025%,16,0.041%
Riohacha,478,0.665%,143,0.199%,335,0.466%
San Juan Del Cesar,71,0.437%,20,0.123%,51,0.314%
Uribia,71,0.09%,34,0.043%,37,0.047%
Urumita,8,0.315%,4,0.158%,4,0.158%
Villanueva,28,0.342%,9,0.11%,19,0.232%
