Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Algarrobo,28,0.47%,12,0.202%,16,0.269%
Aracataca,51,0.361%,10,0.071%,41,0.29%
Ariguaní,36,0.361%,7,0.07%,29,0.291%
Cerro De San Antonio,7,0.216%,3,0.093%,4,0.124%
Chivolo,22,0.321%,6,0.087%,16,0.233%
Ciénaga,307,0.751%,82,0.201%,225,0.55%
Concordia,5,0.165%,3,0.099%,2,0.066%
El Banco,144,0.658%,44,0.201%,100,0.457%
El Piñón,10,0.178%,6,0.107%,4,0.071%
El Retén,35,0.469%,14,0.188%,21,0.281%
Fundación,169,0.69%,50,0.204%,119,0.486%
Guamal,31,0.333%,13,0.139%,18,0.193%
Nueva Granada,14,0.195%,1,0.014%,13,0.181%
Pedraza,6,0.224%,3,0.112%,3,0.112%
Pijiño Del Carmen,5,0.126%,2,0.05%,3,0.076%
Pivijay,59,0.527%,13,0.116%,46,0.411%
Plato,66,0.319%,18,0.087%,48,0.232%
Puebloviejo,28,0.293%,4,0.042%,24,0.251%
Remolino,4,0.129%,1,0.032%,3,0.096%
Sabanas De San Ángel,3,0.054%,1,0.018%,2,0.036%
Salamina,7,0.249%,2,0.071%,5,0.178%
San Sebastián De Buenavista,28,0.399%,6,0.086%,22,0.314%
San Zenón,9,0.19%,6,0.126%,3,0.063%
Santa Ana,24,0.289%,9,0.108%,15,0.181%
Santa Bárbara De Pinto,4,0.126%,1,0.032%,3,0.095%
Santa Marta,"1,286",0.902%,343,0.241%,943,0.662%
Sitionuevo,16,0.169%,6,0.063%,10,0.106%
Tenerife,11,0.246%,5,0.112%,6,0.134%
Zapayán,3,0.096%,1,0.032%,2,0.064%
Zona Bananera,117,0.439%,32,0.12%,85,0.319%
