Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Albán,1,0.11%,0,0%,1,0.11%
Aldana,10,0.634%,2,0.127%,8,0.507%
Ancuya,3,0.224%,1,0.075%,2,0.149%
Arboleda,6,0.311%,1,0.052%,5,0.259%
Barbacoas,57,0.396%,11,0.076%,46,0.32%
Belén,0,0%,0,0%,0,0%
Buesaco,19,0.403%,6,0.127%,13,0.276%
Chachagüí,8,0.282%,1,0.035%,7,0.246%
Colón,6,0.392%,1,0.065%,5,0.326%
Consacá,3,0.141%,1,0.047%,2,0.094%
Contadero,5,0.353%,0,0%,5,0.353%
Córdoba,6,0.253%,0,0%,6,0.253%
Cuaspud Carlosama,31,0.322%,10,0.104%,21,0.218%
Cumbal,21,1.767%,6,0.505%,15,1.262%
Cumbitara,12,0.296%,2,0.049%,10,0.247%
El Charco,28,0.337%,6,0.072%,22,0.265%
El Peñol,4,0.326%,1,0.081%,3,0.244%
El Rosario,9,0.852%,2,0.189%,7,0.662%
El Tablón De Gómez,5,0.159%,2,0.063%,3,0.095%
El Tambo,10,0.391%,2,0.078%,8,0.313%
Francisco Pizarro,5,0.209%,0,0%,5,0.209%
Funes,5,0.359%,1,0.072%,4,0.287%
Guachucal,11,0.272%,3,0.074%,8,0.198%
Guaitarilla,4,0.197%,2,0.099%,2,0.099%
Gualmatán,7,0.512%,3,0.219%,4,0.292%
Iles,3,0.183%,0,0%,3,0.183%
Imués,5,0.439%,1,0.088%,4,0.351%
Ipiales,206,0.792%,50,0.192%,156,0.6%
La Cruz,9,0.268%,3,0.089%,6,0.179%
La Florida,0,0%,0,0%,0,0%
La Llanada,3,0.191%,1,0.064%,2,0.127%
La Tola,6,0.304%,2,0.101%,4,0.203%
La Unión,40,0.627%,11,0.172%,29,0.455%
Leiva,17,0.903%,2,0.106%,15,0.797%
Linares,8,0.468%,2,0.117%,6,0.351%
Los Andes,6,0.468%,1,0.078%,5,0.39%
Magüí,4,0.048%,0,0%,4,0.048%
Mallama,14,0.739%,3,0.158%,11,0.581%
Mosquera,3,0.104%,0,0%,3,0.104%
Nariño,3,0.354%,0,0%,3,0.354%
Olaya Herrera,26,0.304%,2,0.023%,24,0.281%
Ospina,3,0.232%,1,0.077%,2,0.155%
Pasto,491,0.746%,145,0.22%,346,0.526%
Policarpa,40,1.945%,7,0.34%,33,1.604%
Potosí,9,0.395%,4,0.176%,5,0.22%
Providencia,4,1.013%,1,0.253%,3,0.759%
Puerres,3,0.151%,0,0%,3,0.151%
Pupiales,14,0.409%,2,0.058%,12,0.35%
Ricaurte,35,0.475%,7,0.095%,28,0.38%
Roberto Payán,8,0.236%,5,0.147%,3,0.088%
Samaniego,36,1.167%,9,0.292%,27,0.875%
San Andrés De Tumaco,539,1.23%,139,0.317%,400,0.913%
San Bernardo,1,0.058%,0,0%,1,0.058%
San Lorenzo,7,0.187%,2,0.053%,5,0.134%
San Pablo,14,0.54%,4,0.154%,10,0.386%
San Pedro De Cartago,3,0.196%,0,0%,3,0.196%
Sandoná,12,0.35%,3,0.087%,9,0.262%
Santa Bárbara,5,0.143%,0,0%,5,0.143%
Santacruz,7,0.359%,2,0.103%,5,0.256%
Sapuyes,3,0.202%,0,0%,3,0.202%
Taminango,21,0.644%,4,0.123%,17,0.521%
Tangua,8,0.355%,1,0.044%,7,0.311%
Túquerres,41,0.431%,14,0.147%,27,0.284%
Yacuanquer,8,0.329%,2,0.082%,6,0.246%
