Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Colón,11,0.732%,4,0.266%,7,0.466%
Mocoa,116,0.826%,38,0.271%,78,0.556%
Orito,55,0.548%,9,0.09%,46,0.458%
Puerto Asís,197,1.044%,54,0.286%,143,0.758%
Puerto Caicedo,23,0.684%,4,0.119%,19,0.565%
Puerto Guzmán,37,0.444%,7,0.084%,30,0.36%
Puerto Leguízamo,59,0.488%,16,0.132%,43,0.355%
San Francisco,5,0.328%,3,0.197%,2,0.131%
San Miguel,19,0.405%,5,0.107%,14,0.299%
Santiago,8,0.371%,1,0.046%,7,0.325%
Sibundoy,20,0.504%,5,0.126%,15,0.378%
Valle Del Guamuez,61,0.782%,10,0.128%,51,0.654%
Villagarzón,50,0.613%,11,0.135%,39,0.478%
