Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Armenia,434,0.832%,99,0.19%,335,0.642%
Buenavista,1,0.152%,1,0.152%,0,0%
Calarcá,84,0.583%,23,0.16%,61,0.423%
Circasia,24,0.431%,7,0.126%,17,0.305%
Córdoba,4,0.316%,2,0.158%,2,0.158%
Filandia,11,0.505%,5,0.229%,6,0.275%
Génova,8,0.571%,3,0.214%,5,0.357%
La Tebaida,51,0.572%,9,0.101%,42,0.471%
Montenegro,55,0.744%,16,0.216%,39,0.527%
Pijao,6,0.628%,2,0.209%,4,0.419%
Quimbaya,33,0.587%,7,0.125%,26,0.463%
Salento,3,0.195%,1,0.065%,2,0.13%
