Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Aguada,7,2.284%,3,0.979%,4,1.305%
Albania,4,0.582%,2,0.291%,2,0.291%
Aratoca,12,0.6%,5,0.25%,7,0.35%
Barbosa,36,0.468%,6,0.078%,30,0.39%
Barichara,6,0.327%,1,0.055%,5,0.273%
Barrancabermeja,603,1.049%,161,0.28%,442,0.769%
Betulia,3,0.202%,1,0.067%,2,0.135%
Bolívar,7,0.297%,1,0.042%,6,0.255%
Bucaramanga,"1,270",1.095%,300,0.259%,970,0.836%
Cabrera,1,0.279%,0,0%,1,0.279%
California,2,0.401%,1,0.2%,1,0.2%
Capitanejo,8,0.666%,1,0.083%,7,0.583%
Carcasí,5,0.464%,2,0.186%,3,0.278%
Cepitá,1,0.213%,1,0.213%,0,0%
Cerrito,5,0.275%,1,0.055%,4,0.22%
Charalá,15,0.517%,3,0.103%,12,0.414%
Charta,2,0.328%,0,0%,2,0.328%
Chima,1,0.2%,0,0%,1,0.2%
Chipatá,3,0.331%,0,0%,3,0.331%
Cimitarra,49,0.701%,11,0.157%,38,0.543%
Concepción,6,0.444%,1,0.074%,5,0.37%
Confines,3,0.357%,0,0%,3,0.357%
Contratación,5,0.681%,0,0%,5,0.681%
Coromoro,4,0.334%,1,0.084%,3,0.251%
Curití,10,0.332%,2,0.066%,8,0.266%
El Carmen De Chucuri,13,0.242%,4,0.074%,9,0.168%
El Guacamayo,0,0%,0,0%,0,0%
El Peñón,2,0.159%,0,0%,2,0.159%
El Playón,22,0.577%,7,0.184%,15,0.393%
Encino,2,0.352%,1,0.176%,1,0.176%
Enciso,2,0.255%,0,0%,2,0.255%
Florián,427,0.684%,108,0.173%,319,0.511%
Floridablanca,3,0.285%,0,0%,3,0.285%
Galán,3,0.454%,0,0%,3,0.454%
Gámbita,211,0.539%,46,0.117%,165,0.421%
Girón,3,0.209%,1,0.07%,2,0.139%
Guaca,5,0.621%,3,0.372%,2,0.248%
Guadalupe,0,0%,0,0%,0,0%
Guapotá,2,0.282%,0,0%,2,0.282%
Guavatá,7,0.676%,1,0.097%,6,0.58%
Güepsa,5,0.464%,2,0.186%,3,0.279%
Hato,0,0%,0,0%,0,0%
Jesús María,3,0.474%,1,0.158%,2,0.316%
Jordán,0,0%,0,0%,0,0%
La Belleza,10,0.72%,2,0.144%,8,0.576%
La Paz,2,0.275%,0,0%,2,0.275%
Landázuri,15,0.575%,5,0.192%,10,0.383%
Lebrija,51,0.486%,11,0.105%,40,0.381%
Los Santos,14,0.384%,4,0.11%,10,0.274%
Macaravita,1,0.195%,0,0%,1,0.195%
Málaga,4,0.403%,1,0.101%,3,0.302%
Matanza,21,0.704%,3,0.101%,18,0.603%
Mogotes,2,0.243%,0,0%,2,0.243%
Molagavita,20,0.387%,4,0.077%,16,0.309%
Ocamonte,1,0.084%,0,0%,1,0.084%
Oiba,10,0.405%,1,0.04%,9,0.364%
Onzaga,4,0.497%,0,0%,4,0.497%
Palmar,0,0%,0,0%,0,0%
Palmas Del Socorro,2,0.351%,0,0%,2,0.351%
Páramo,210,0.504%,52,0.125%,158,0.379%
Piedecuesta,1,0.091%,1,0.091%,0,0%
Pinchote,16,0.582%,6,0.218%,10,0.364%
Puente Nacional,5,0.216%,3,0.129%,2,0.086%
Puerto Parra,37,0.35%,8,0.076%,29,0.274%
Puerto Wilches,7,0.578%,1,0.083%,6,0.495%
Rionegro,27,0.398%,8,0.118%,19,0.28%
Sabana De Torres,68,0.68%,15,0.15%,53,0.53%
San Andrés,7,0.359%,2,0.103%,5,0.256%
San Benito,0,0%,0,0%,0,0%
San Gil,109,0.763%,30,0.21%,79,0.553%
San Joaquín,1,0.199%,0,0%,1,0.199%
San José De Miranda,3,0.328%,1,0.109%,2,0.218%
San Miguel,2,0.338%,1,0.169%,1,0.169%
San Vicente De Chucurí,36,0.44%,8,0.098%,28,0.343%
Santa Bárbara,0,0%,0,0%,0,0%
Santa Helena Del Opón,2,0.244%,0,0%,2,0.244%
Simacota,3,0.143%,1,0.048%,2,0.096%
Socorro,36,0.508%,5,0.071%,31,0.437%
Suaita,11,0.482%,1,0.044%,10,0.438%
Sucre,4,0.311%,1,0.078%,3,0.233%
Suratá,0,0%,0,0%,0,0%
Tona,9,0.482%,4,0.214%,5,0.268%
Valle De San José,9,0.595%,5,0.331%,4,0.265%
Vélez,0,0%,0,0%,0,0%
Vetas,11,0.662%,2,0.12%,9,0.542%
Villanueva,14,0.343%,6,0.147%,8,0.196%
Zapatoca,10,0.38%,5,0.19%,5,0.19%
