Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Alcalá,34,1.197%,8,0.282%,26,0.915%
Andalucía,34,0.865%,7,0.178%,27,0.687%
Ansermanuevo,35,0.968%,7,0.194%,28,0.774%
Argelia,6,0.509%,2,0.17%,4,0.339%
Bolívar,14,0.397%,2,0.057%,12,0.341%
Buenaventura,634,0.807%,145,0.185%,489,0.622%
Bugalagrande,35,0.717%,6,0.123%,29,0.594%
Caicedonia,33,0.625%,8,0.152%,25,0.474%
Cali,"3,527",1.071%,800,0.243%,"2,727",0.828%
Calima,22,0.603%,3,0.082%,19,0.52%
Candelaria,123,0.57%,25,0.116%,98,0.454%
Cartago,240,1.014%,56,0.237%,184,0.778%
Dagua,52,0.531%,14,0.143%,38,0.388%
El Águila,7,0.593%,1,0.085%,6,0.509%
El Cairo,57,0.467%,12,0.098%,45,0.369%
El Cerrito,25,1.072%,8,0.343%,17,0.729%
El Dovio,14,0.801%,3,0.172%,11,0.629%
Florida,93,0.725%,37,0.288%,56,0.437%
Ginebra,15,0.351%,3,0.07%,12,0.281%
Guacarí,49,0.656%,19,0.254%,30,0.401%
Guadalajara De Buga,184,0.74%,47,0.189%,137,0.551%
Jamundí,198,0.614%,45,0.139%,153,0.474%
La Cumbre,11,0.427%,3,0.116%,8,0.31%
La Unión,64,0.996%,17,0.265%,47,0.731%
La Victoria,20,1.012%,3,0.152%,17,0.86%
Obando,15,0.683%,1,0.046%,14,0.637%
Palmira,467,0.728%,120,0.187%,347,0.541%
Pradera,72,0.688%,13,0.124%,59,0.564%
Restrepo,26,0.951%,5,0.183%,21,0.768%
Riofrío,31,0.981%,7,0.221%,24,0.759%
Roldanillo,51,0.783%,11,0.169%,40,0.614%
San Pedro,21,0.588%,5,0.14%,16,0.448%
Sevilla,67,0.923%,16,0.22%,51,0.703%
Toro,31,1.153%,4,0.149%,27,1.005%
Trujillo,26,0.632%,4,0.097%,22,0.534%
Tuluá,434,1.042%,102,0.245%,332,0.797%
Ulloa,8,0.733%,1,0.092%,7,0.642%
Versalles,8,0.611%,0,0%,8,0.611%
Vijes,8,0.322%,2,0.08%,6,0.241%
Yotoco,24,0.694%,6,0.174%,18,0.521%
Yumbo,165,0.758%,41,0.188%,124,0.569%
Zarzal,58,0.647%,14,0.156%,44,0.49%
