Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Albania,5,0.382%,1,0.076%,4,0.306%
Belén De Los Andaquíes,13,0.431%,7,0.232%,6,0.199%
Cartagena Del Chairá,55,0.467%,13,0.11%,42,0.356%
Curillo,15,0.575%,2,0.077%,13,0.498%
El Doncello,31,0.589%,14,0.266%,17,0.323%
El Paujíl,20,0.48%,5,0.12%,15,0.36%
Florencia,384,0.825%,90,0.193%,294,0.632%
La Montañita,16,0.387%,3,0.073%,13,0.314%
Milán,9,0.284%,3,0.095%,6,0.189%
Morelia,11,1.092%,0,0%,11,1.092%
Puerto Rico,34,0.357%,9,0.095%,25,0.263%
San José Del Fragua,37,0.822%,10,0.222%,27,0.6%
San Vicente Del Caguán,125,0.838%,34,0.228%,91,0.61%
Solita,7,0.397%,3,0.17%,4,0.227%
Valparaíso,4,0.194%,1,0.049%,3,0.146%
