Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Ayapel,63,0.462%,23,0.169%,40,0.293%
Buenavista,25,0.404%,7,0.113%,18,0.291%
Canalete,17,0.33%,9,0.175%,8,0.155%
Cereté,128,0.467%,24,0.088%,104,0.379%
Chimá,5,0.133%,1,0.027%,4,0.106%
Chinú,41,0.359%,12,0.105%,29,0.254%
Ciénaga De Oro,57,0.341%,12,0.072%,45,0.269%
Cotorra,16,0.356%,3,0.067%,13,0.29%
La Apartada,25,0.54%,3,0.065%,22,0.475%
Lorica,189,0.684%,55,0.199%,134,0.485%
Los Córdobas,13,0.257%,3,0.059%,10,0.197%
Momil,17,0.346%,8,0.163%,9,0.183%
Moñitos,123,0.484%,27,0.106%,96,0.377%
Montelíbano,850,0.663%,232,0.181%,618,0.482%
Montería,20,0.226%,4,0.045%,16,0.181%
Planeta Rica,100,0.529%,24,0.127%,76,0.402%
Pueblo Nuevo,24,0.299%,8,0.1%,16,0.2%
Puerto Escondido,24,0.368%,8,0.123%,16,0.245%
Puerto Libertador,54,0.392%,14,0.102%,40,0.291%
Purísima De La Concepción,12,0.274%,3,0.069%,9,0.206%
Sahagún,141,0.515%,34,0.124%,107,0.391%
San Andrés De Sotavento,29,0.242%,6,0.05%,23,0.192%
San Antero,26,0.272%,3,0.031%,23,0.241%
San Bernardo Del Viento,45,0.477%,10,0.106%,35,0.371%
San Carlos,25,0.345%,8,0.11%,17,0.234%
San José De Uré,1,0.021%,0,0%,1,0.021%
San Pelayo,29,0.264%,6,0.055%,23,0.209%
Tierralta,176,0.512%,40,0.116%,136,0.396%
Tuchín,11,0.067%,3,0.018%,8,0.049%
Valencia,37,0.372%,13,0.131%,24,0.241%
