Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Apía,13,0.57%,5,0.219%,8,0.351%
Balboa,4,0.381%,0,0%,4,0.381%
Belén De Umbría,33,0.681%,14,0.289%,19,0.392%
Dosquebradas,256,0.615%,72,0.173%,184,0.442%
Guática,10,0.369%,3,0.111%,7,0.258%
La Celia,15,1.214%,8,0.648%,7,0.567%
La Virginia,52,0.955%,14,0.257%,38,0.698%
Marsella,11,0.34%,1,0.031%,10,0.309%
Mistrató,19,0.268%,4,0.057%,15,0.212%
Pereira,701,0.858%,145,0.177%,556,0.681%
Pueblo Rico,38,0.545%,12,0.172%,26,0.373%
Quinchía,27,0.428%,4,0.063%,23,0.364%
Santa Rosa De Cabal,82,0.534%,23,0.15%,59,0.385%
Santuario,18,0.686%,3,0.114%,15,0.571%
