Country,Region,Department,Prevalence count for Both in 2021,Prevalence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Prevalence count for Mothers in 2021,Prevalence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Prevalence count for Fathers in 2021,Prevalence rate (% of children aged 0-17 years) for Fathers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Colombia*,,,"431,626",3.765%,"70,621",0.616%,"105,423",0.919%,"18,108",0.158%,"326,203",2.845%,"52,513",0.458%
,Amazonía*,,"11,954",4.287%,"1,815",0.651%,"2,728",0.978%,482,0.173%,"9,226",3.308%,"1,333",0.478%
,,Caquetá*,"6,338",5.474%,766,0.662%,"1,474",1.273%,195,0.168%,"4,864",4.201%,571,0.493%
,,Putumayo,"4,089",4.235%,659,0.682%,990,1.025%,167,0.173%,"3,099",3.209%,492,0.51%
,,Amazonas*,665,3.087%,186,0.863%,122,0.566%,55,0.255%,543,2.521%,131,0.608%
,,Guainía*,87,0.619%,46,0.327%,42,0.299%,23,0.164%,45,0.32%,23,0.164%
,,Guaviare*,703,4.268%,108,0.656%,74,0.449%,24,0.146%,629,3.819%,84,0.51%
,,Vaupés*,72,0.498%,50,0.346%,26,0.18%,18,0.124%,46,0.318%,32,0.221%
,Caribe,,"97,500",3.029%,"17,958",0.558%,"26,265",0.816%,"4,912",0.153%,"71,235",2.213%,"13,046",0.405%
,,Atlántico,"24,036",3.595%,"4,696",0.702%,"6,446",0.964%,"1,264",0.189%,"17,590",2.631%,"3,432",0.513%
,,Bolívar,"16,787",2.802%,"2,955",0.493%,"4,614",0.77%,795,0.133%,"12,173",2.032%,"2,160",0.361%
,,Cesar,"13,328",3.368%,"2,367",0.598%,"3,486",0.881%,646,0.163%,"9,842",2.487%,"1,721",0.435%
,,Córdoba,"14,318",2.939%,"2,323",0.477%,"3,707",0.761%,603,0.124%,"10,611",2.178%,"1,720",0.353%
,,La Guajira,"7,324",2.066%,"1,655",0.467%,"2,096",0.591%,513,0.145%,"5,228",1.475%,"1,142",0.322%
,,Magdalena,"13,572",3.163%,"2,522",0.588%,"3,764",0.877%,704,0.164%,"9,808",2.286%,"1,818",0.424%
,,Sucre,"7,765",2.837%,"1,332",0.487%,"2,133",0.779%,357,0.13%,"5,632",2.058%,975,0.356%
,,"Archipelago de San Andrés, Providencia y Santa Catalina",370,3.443%,108,1.005%,19,0.177%,30,0.279%,351,3.266%,78,0.726%
,Central,,"142,122",3.571%,"24,402",0.613%,"36,264",0.911%,"6,257",0.157%,"105,858",2.66%,"18,145",0.456%
,,Bogotá,"52,245",3.535%,"8,960",0.606%,"13,904",0.941%,"2,362",0.16%,"38,341",2.594%,"6,598",0.446%
,,Boyacá,"9,532",3.384%,"1,543",0.548%,"2,400",0.852%,366,0.13%,"7,132",2.532%,"1,177",0.418%
,,Cundinamarca,"18,257",2.489%,"3,456",0.471%,"4,906",0.669%,927,0.126%,"13,351",1.82%,"2,529",0.345%
,,Huila,"13,266",4.572%,"2,092",0.721%,"3,395",1.17%,563,0.194%,"9,871",3.402%,"1,529",0.527%
,,Norte de Santander,"16,710",4.224%,"2,736",0.692%,"3,680",0.93%,655,0.166%,"13,030",3.294%,"2,081",0.526%
,,Santander,"17,953",3.577%,"3,556",0.708%,"4,559",0.908%,875,0.174%,"13,394",2.668%,"2,681",0.534%
,,Tolima,"14,159",4.737%,"2,059",0.689%,"3,420",1.144%,509,0.17%,"10,739",3.593%,"1,550",0.519%
,Eje cafetero y Antioquia,,"79,440",4.325%,"11,692",0.637%,"17,342",0.944%,"2,840",0.155%,"62,098",3.381%,"8,852",0.482%
,,Antioquia,"57,232",4.224%,"8,618",0.636%,"12,336",0.91%,"2,109",0.156%,"44,896",3.314%,"6,509",0.48%
,,Caldas,"7,541",3.821%,"1,085",0.55%,"1,726",0.874%,248,0.126%,"5,815",2.946%,837,0.424%
,,Quindío,"5,169",5.064%,710,0.696%,"1,115",1.092%,175,0.171%,"4,054",3.972%,535,0.524%
,,Risaralda,"9,498",5.206%,"1,279",0.701%,"2,165",1.187%,308,0.169%,"7,333",4.02%,971,0.532%
,Llanos*,,"21,426",4.334%,"3,418",0.691%,"5,415",1.095%,908,0.184%,"16,011",3.239%,"2,510",0.508%
,,Meta*,"12,350",4.457%,"1,886",0.681%,"3,162",1.141%,530,0.191%,"9,188",3.316%,"1,356",0.489%
,,Arauca*,"4,578",5.42%,612,0.725%,"1,089",1.289%,147,0.174%,"3,489",4.131%,465,0.551%
,,Casanare,"4,413",3.576%,870,0.705%,"1,157",0.937%,219,0.177%,"3,256",2.638%,651,0.527%
,,Vichada*,85,0.912%,50,0.537%,7,0.075%,12,0.129%,78,0.837%,38,0.408%
,Pacífica,,"79,184",4.779%,"11,336",0.684%,"17,409",1.051%,"2,709",0.163%,"61,775",3.728%,"8,627",0.521%
,,Cauca,"11,999",3.379%,"1,734",0.488%,"2,743",0.773%,379,0.107%,"9,256",2.607%,"1,355",0.382%
,,Chocó,"3,264",1.717%,669,0.352%,922,0.485%,203,0.107%,"2,342",1.232%,466,0.245%
,,Nariño,"12,373",3.84%,"1,935",0.6%,"3,002",0.932%,494,0.153%,"9,371",2.908%,"1,441",0.447%
,,Valle del Cauca,"51,548",6.528%,"6,998",0.886%,"10,742",1.36%,"1,633",0.207%,"40,806",5.168%,"5,365",0.679%
