dep,dep_name,gender,year,n_orp
8,Atlántico,Female,2015,99.44666357394918
8,Atlántico,Female,2016,105.32892794566436
8,Atlántico,Female,2017,109.25392754749645
8,Atlántico,Female,2018,113.70999613293223
8,Atlántico,Female,2019,117.85129436916007
8,Atlántico,Female,2020,154.03301950650206
8,Atlántico,Female,2021,189.04958060532883
8,Atlántico,Male,2015,260.688219253098
8,Atlántico,Male,2016,256.2955619475657
8,Atlántico,Male,2017,272.69663466734744
8,Atlántico,Male,2018,281.9183064746532
8,Atlántico,Male,2019,274.4421200108022
8,Atlántico,Male,2020,401.2335838213059
8,Atlántico,Male,2021,513.3055068334561
13,Bolívar,Female,2015,75.09777792476186
13,Bolívar,Female,2016,72.58965386952617
13,Bolívar,Female,2017,88.96973663186498
13,Bolívar,Female,2018,88.18723093203577
13,Bolívar,Female,2019,100.04496655012797
13,Bolívar,Female,2020,121.86094570263788
13,Bolívar,Female,2021,132.69394028619914
13,Bolívar,Male,2015,183.2447845643466
13,Bolívar,Male,2016,189.64439874571016
13,Bolívar,Male,2017,221.23065101662309
13,Bolívar,Male,2018,227.96479805831552
13,Bolívar,Male,2019,216.68275682076498
13,Bolívar,Male,2020,305.7271215796166
13,Bolívar,Male,2021,360.52693209835235
20,Cesar,Female,2015,91.5114315020385
20,Cesar,Female,2016,91.81171294537555
20,Cesar,Female,2017,84.43126022299224
20,Cesar,Female,2018,112.26107844625565
20,Cesar,Female,2019,107.69283815865131
20,Cesar,Female,2020,124.0236818218391
20,Cesar,Female,2021,163.24754646450307
20,Cesar,Male,2015,238.54665290419027
20,Cesar,Male,2016,224.91305098629707
20,Cesar,Male,2017,237.43093783920241
20,Cesar,Male,2018,270.95742115891704
20,Cesar,Male,2019,251.28328903685306
20,Cesar,Male,2020,322.6137490334956
20,Cesar,Male,2021,434.9056152715322
23,Córdoba,Female,2015,78.79746947354907
23,Córdoba,Female,2016,71.37417294089121
23,Córdoba,Female,2017,81.35060628082189
23,Córdoba,Female,2018,87.79185915844674
23,Córdoba,Female,2019,84.38685277950694
23,Córdoba,Female,2020,113.72834913453214
23,Córdoba,Female,2021,123.7640481031913
23,Córdoba,Male,2015,170.41811204538797
23,Córdoba,Male,2016,178.05779122555666
23,Córdoba,Male,2017,201.07414005259753
23,Córdoba,Male,2018,227.47846173055314
23,Córdoba,Male,2019,242.0674509308861
23,Córdoba,Male,2020,305.35558519838094
23,Córdoba,Male,2021,353.02514550164017
44,La Guajira,Female,2015,61.246968502871454
44,La Guajira,Female,2016,67.0948739983068
44,La Guajira,Female,2017,57.98888449090023
44,La Guajira,Female,2018,91.2387206500685
44,La Guajira,Female,2019,103.83290242478765
44,La Guajira,Female,2020,103.22090255651689
44,La Guajira,Female,2021,144.69963063483695
44,La Guajira,Male,2015,159.00075074390767
44,La Guajira,Male,2016,177.3221669955251
44,La Guajira,Male,2017,170.100727839974
44,La Guajira,Male,2018,188.9734019936694
44,La Guajira,Male,2019,196.64443531845257
44,La Guajira,Male,2020,261.0881652900133
44,La Guajira,Male,2021,322.11886585766825
47,Magdalena,Female,2015,76.13453006161289
