mun,mun_name,gender,year,n_orp
5001,Medellín,Female,2015,485
5002,Abejorral,Female,2015,3
5004,Abriaquí,Female,2015,0
5021,Alejandría,Female,2015,0
5030,Amagá,Female,2015,3
5031,Amalfi,Female,2015,12
5034,Andes,Female,2015,17
5036,Angelópolis,Female,2015,3
5038,Angostura,Female,2015,2
5040,Anorí,Female,2015,7
5042,Santa Fé De Antioquia,Female,2015,14
5044,Anzá,Female,2015,1
5045,Apartadó,Female,2015,42
5051,Arboletes,Female,2015,9
5055,Argelia,Female,2015,4
5059,Armenia,Female,2015,2
5079,Barbosa,Female,2015,12
5086,Belmira,Female,2015,0
5088,Bello,Female,2015,80
5091,Betania,Female,2015,2
5093,Betulia,Female,2015,6
5101,Ciudad Bolívar,Female,2015,11
5107,Briceño,Female,2015,1
5113,Buriticá,Female,2015,4
5120,Cáceres,Female,2015,14
5125,Caicedo,Female,2015,4
5129,Caldas,Female,2015,13
5134,Campamento,Female,2015,1
5138,Cañasgordas,Female,2015,2
5142,Caracolí,Female,2015,1
5145,Caramanta,Female,2015,0
5147,Carepa,Female,2015,18
5148,El Carmen De Viboral,Female,2015,8
5150,Carolina,Female,2015,1
5154,Caucasia,Female,2015,41
5172,Chigorodó,Female,2015,19
5190,Cisneros,Female,2015,2
5197,Cocorná,Female,2015,0
5206,Concepción,Female,2015,0
5209,Concordia,Female,2015,5
5212,Copacabana,Female,2015,13
5234,Dabeiba,Female,2015,5
5237,Donmatías,Female,2015,4
5240,Ebéjico,Female,2015,3
5250,El Bagre,Female,2015,27
5264,Entrerríos,Female,2015,5
5266,Envigado,Female,2015,17
5282,Fredonia,Female,2015,4
5284,Frontino,Female,2015,8
5306,Giraldo,Female,2015,1
5308,Girardota,Female,2015,8
5310,Gómez Plata,Female,2015,4
5313,Granada,Female,2015,1
5315,Guadalupe,Female,2015,1
5318,Guarne,Female,2015,10
5321,Guatapé,Female,2015,1
5347,Heliconia,Female,2015,1
5353,Hispania,Female,2015,1
5360,Itagüí,Female,2015,42
5361,Ituango,Female,2015,16
5364,Jardín,Female,2015,7
5368,Jericó,Female,2015,1
5376,La Ceja,Female,2015,16
5380,La Estrella,Female,2015,10
5390,La Pintada,Female,2015,4
5400,La Unión,Female,2015,5
5411,Liborina,Female,2015,0
5425,Maceo,Female,2015,2
5440,Marinilla,Female,2015,10
5467,Montebello,Female,2015,1
5475,Murindó,Female,2015,2
5480,Mutatá,Female,2015,16
5483,Nariño,Female,2015,5
5490,Necoclí,Female,2015,18
5495,Nechí,Female,2015,7
5501,Olaya,Female,2015,3
5541,Peñol,Female,2015,3
5543,Peque,Female,2015,1
5576,Pueblorrico,Female,2015,2
5579,Puerto Berrío,Female,2015,9
5585,Puerto Nare,Female,2015,4
5591,Puerto Triunfo,Female,2015,4
5604,Remedios,Female,2015,10
5607,Retiro,Female,2015,5
5615,Rionegro,Female,2015,19
5628,Sabanalarga,Female,2015,0
5631,Sabaneta,Female,2015,10
5642,Salgar,Female,2015,43
5647,San Andrés De Cuerquía,Female,2015,5
5649,San Carlos,Female,2015,2
5652,San Francisco,Female,2015,5
5656,San Jerónimo,Female,2015,2
5658,San José De La Montaña,Female,2015,2
5659,San Juan De Urabá,Female,2015,7
5660,San Luis,Female,2015,6
5664,San Pedro De Los Milagros,Female,2015,6
5665,San Pedro De Urabá,Female,2015,7
5667,San Rafael,Female,2015,6
5670,San Roque,Female,2015,7
5674,San Vicente Ferrer,Female,2015,4
5679,Santa Bárbara,Female,2015,6
5686,Santa Rosa De Osos,Female,2015,7
5690,Santo Domingo,Female,2015,1
5697,El Santuario,Female,2015,8
5736,Segovia,Female,2015,13
5756,Sonsón,Female,2015,5
5761,Sopetrán,Female,2015,6
5789,Támesis,Female,2015,2
5790,Tarazá,Female,2015,20
5792,Tarso,Female,2015,0
5809,Titiribí,Female,2015,1
5819,Toledo,Female,2015,3
5837,Turbo,Female,2015,47
5842,Uramita,Female,2015,0
5847,Urrao,Female,2015,9
5854,Valdivia,Female,2015,4
5856,Valparaíso,Female,2015,3
5858,Vegachí,Female,2015,1
5861,Venecia,Female,2015,4
5873,Vigía Del Fuerte,Female,2015,0
5885,Yalí,Female,2015,0
5887,Yarumal,Female,2015,15
5890,Yolombó,Female,2015,5
5893,Yondó,Female,2015,7
5895,Zaragoza,Female,2015,6
8001,Barranquilla,Female,2015,442
8078,Baranoa,Female,2015,13
8137,Campo De La Cruz,Female,2015,4
8141,Candelaria,Female,2015,8
8296,Galapa,Female,2015,16
8372,Juan De Acosta,Female,2015,0
8421,Luruaco,Female,2015,6
8433,Malambo,Female,2015,20
8436,Manatí,Female,2015,5
8520,Palmar De Varela,Female,2015,4
8549,Piojó,Female,2015,1
8558,Polonuevo,Female,2015,3
8560,Ponedera,Female,2015,1
