mun,mun_name,gender,year,n_orp
5001,Medellín,Female,2015,89.2489090177916
5002,Abejorral,Female,2015,57.36179325966784
5004,Abriaquí,Female,2015,0
5021,Alejandría,Female,2015,0
5030,Amagá,Female,2015,41.938429623743914
5031,Amalfi,Female,2015,176.00452217622225
5034,Andes,Female,2015,154.18489778222622
5036,Angelópolis,Female,2015,182.68272528577734
5038,Angostura,Female,2015,54.23322955918461
5040,Anorí,Female,2015,143.07906140135722
5042,Santa Fé De Antioquia,Female,2015,203.95148733371286
5044,Anzá,Female,2015,45.35147392290249
5045,Apartadó,Female,2015,100.8833807600416
5051,Arboletes,Female,2015,84.43585130787949
5055,Argelia,Female,2015,168.73820458492966
5059,Armenia,Female,2015,185.44988540306082
5079,Barbosa,Female,2015,105.23965716395811
5086,Belmira,Female,2015,0
5088,Bello,Female,2015,70.34729808016203
5091,Betania,Female,2015,70.88704243596918
5093,Betulia,Female,2015,112.37409283545485
5101,Ciudad Bolívar,Female,2015,151.1973685831303
5107,Briceño,Female,2015,39.882894765752916
5113,Buriticá,Female,2015,164.0100792843117
5120,Cáceres,Female,2015,127.2697757473157
5125,Caicedo,Female,2015,160.19440849007708
5129,Caldas,Female,2015,78.69881271823182
5134,Campamento,Female,2015,43.31674976104299
5138,Cañasgordas,Female,2015,42.10147227914403
5142,Caracolí,Female,2015,87.58758758758758
5145,Caramanta,Female,2015,0
5147,Carepa,Female,2015,107.41358232697962
5148,El Carmen De Viboral,Female,2015,55.68855012864809
5150,Carolina,Female,2015,116.12502934567527
5154,Caucasia,Female,2015,133.29107973124673
5172,Chigorodó,Female,2015,88.71592306773998
5190,Cisneros,Female,2015,81.02623757508846
5197,Cocorná,Female,2015,0
5206,Concepción,Female,2015,0
5209,Concordia,Female,2015,95.30496854936038
5212,Copacabana,Female,2015,78.27202025080354
5234,Dabeiba,Female,2015,55.120357845738525
5237,Donmatías,Female,2015,88.3554020573324
5240,Ebéjico,Female,2015,103.35451403254862
5250,El Bagre,Female,2015,146.3317271633214
5264,Entrerríos,Female,2015,191.2651198374906
5266,Envigado,Female,2015,45.517304986271576
5282,Fredonia,Female,2015,79.7520495262931
5284,Frontino,Female,2015,109.64522857451192
5306,Giraldo,Female,2015,68.67010113958976
5308,Girardota,Female,2015,69.88790836815592
5310,Gómez Plata,Female,2015,150.80259985515616
5313,Granada,Female,2015,32.235761852230794
5315,Guadalupe,Female,2015,57.553301836177944
5318,Guarne,Female,2015,98.40736090591997
5321,Guatapé,Female,2015,56.86441450073986
5347,Heliconia,Female,2015,71.60682612931146
5353,Hispania,Female,2015,71.80018362014172
5360,Itagüí,Female,2015,74.0254816170054
5361,Ituango,Female,2015,207.4524766493363
5364,Jardín,Female,2015,187.52931288167687
5368,Jericó,Female,2015,34.23492991434359
5376,La Ceja,Female,2015,114.63487026759684
5380,La Estrella,Female,2015,68.73717032046271
5390,La Pintada,Female,2015,181.28496450960455
5400,La Unión,Female,2015,87.19317469065449
5411,Liborina,Female,2015,0
5425,Maceo,Female,2015,85.57643598735044
5440,Marinilla,Female,2015,67.30534699154866
5467,Montebello,Female,2015,57.34991877378851
5475,Murindó,Female,2015,91.4157411491119
5480,Mutatá,Female,2015,263.847241911439
5483,Nariño,Female,2015,171.48811859940415
5490,Necoclí,Female,2015,102.68922216239025
5495,Nechí,Female,2015,75.98368470383316
5501,Olaya,Female,2015,370.6108744199306
5541,Peñol,Female,2015,62.11831802494322
5543,Peque,Female,2015,38.021405557544405
5576,Pueblorrico,Female,2015,89.4302103199813
5579,Puerto Berrío,Female,2015,78.82342155543353
5585,Puerto Nare,Female,2015,95.46269433275083
5591,Puerto Triunfo,Female,2015,74.71504457621302
5604,Remedios,Female,2015,124.66078735043479
5607,Retiro,Female,2015,108.2616471549158
5615,Rionegro,Female,2015,72.0415959092139
5628,Sabanalarga,Female,2015,0
5631,Sabaneta,Female,2015,72.4282380003241
5642,Salgar,Female,2015,807.5185163419754
5647,San Andrés De Cuerquía,Female,2015,245.723335551776
5649,San Carlos,Female,2015,47.338414152134014
5652,San Francisco,Female,2015,252.23982579487475
5656,San Jerónimo,Female,2015,56.37022674227024
5658,San José De La Montaña,Female,2015,189.2147587511826
5659,San Juan De Urabá,Female,2015,81.38304965493444
5660,San Luis,Female,2015,157.21512093528705
