nat,nat_name,gender,year,n_orp
1,Colombia,Female,2015,92.94013302409745
1,Colombia,Female,2016,94.38392965783814
1,Colombia,Female,2017,94.77762814995413
1,Colombia,Female,2018,100.3215609121407
1,Colombia,Female,2019,103.30804827192682
1,Colombia,Female,2020,122.0660034067753
1,Colombia,Female,2021,157.93716612577188
1,Colombia,Male,2015,251.45314268464938
1,Colombia,Male,2016,257.25646687485016
1,Colombia,Male,2017,251.47717754122237
1,Colombia,Male,2018,273.14806388864946
1,Colombia,Male,2019,275.1402339533504
1,Colombia,Male,2020,339.62077268058584
1,Colombia,Male,2021,458.0160373736834
