reg,reg_name,gender,year,n_orp
1,Caribe,Female,2015,81.09202778671636
1,Caribe,Female,2016,84.06897435264337
1,Caribe,Female,2017,88.03514873928931
1,Caribe,Female,2018,97.78199157936356
1,Caribe,Female,2019,102.35338409646117
1,Caribe,Female,2020,125.72148817551276
1,Caribe,Female,2021,152.60911849888544
1,Caribe,Male,2015,204.84992733603127
1,Caribe,Male,2016,206.0667417853165
1,Caribe,Male,2017,220.93611140937264
1,Caribe,Male,2018,240.74579631434938
1,Caribe,Male,2019,237.64879232225985
1,Caribe,Male,2020,321.51471711993696
1,Caribe,Male,2021,405.3213680652401
2,Eje cafetero y Antioquia,Female,2015,95.77454401934608
2,Eje cafetero y Antioquia,Female,2016,100.17565287444219
2,Eje cafetero y Antioquia,Female,2017,95.59521985046078
2,Eje cafetero y Antioquia,Female,2018,104.41772373059602
2,Eje cafetero y Antioquia,Female,2019,99.41933490126677
2,Eje cafetero y Antioquia,Female,2020,113.52272796264927
2,Eje cafetero y Antioquia,Female,2021,154.62365053468963
2,Eje cafetero y Antioquia,Male,2015,289.6359097987274
2,Eje cafetero y Antioquia,Male,2016,300.24182868155873
2,Eje cafetero y Antioquia,Male,2017,296.9688404630777
2,Eje cafetero y Antioquia,Male,2018,326.29913858943553
2,Eje cafetero y Antioquia,Male,2019,310.97383505734035
2,Eje cafetero y Antioquia,Male,2020,342.8914397160206
2,Eje cafetero y Antioquia,Male,2021,481.9466741313636
3,Pacífica,Female,2015,94.29088755696999
3,Pacífica,Female,2016,98.86925786575577
3,Pacífica,Female,2017,97.59420405780531
3,Pacífica,Female,2018,107.2657436366
3,Pacífica,Female,2019,109.25050552188195
3,Pacífica,Female,2020,126.49422898392743
3,Pacífica,Female,2021,163.47994501905734
3,Pacífica,Male,2015,289.6526956744928
3,Pacífica,Male,2016,295.9425042638021
3,Pacífica,Male,2017,282.9283377896095
3,Pacífica,Male,2018,329.63002354857815
3,Pacífica,Male,2019,348.6813771509884
3,Pacífica,Male,2020,399.95270740976224
3,Pacífica,Male,2021,520.6133206642331
4,Central,Female,2015,92.48058146057156
4,Central,Female,2016,92.59571140335122
4,Central,Female,2017,92.57771455797798
4,Central,Female,2018,94.13047556918323
4,Central,Female,2019,98.32366510848307
4,Central,Female,2020,116.67946647577973
4,Central,Female,2021,157.22486106646224
4,Central,Male,2015,234.46276126171026
4,Central,Male,2016,245.00870077864943
4,Central,Male,2017,227.9749045870523
4,Central,Male,2018,239.53978023798774
4,Central,Male,2019,246.52130906605424
4,Central,Male,2020,318.0154217668332
4,Central,Male,2021,455.9445587423617
5,Llanos,Female,2015,141.35038889467157
5,Llanos,Female,2016,125.07308043745459
5,Llanos,Female,2017,119.59503166470017
5,Llanos,Female,2018,127.01988442267272
5,Llanos,Female,2019,137.75603843601095
5,Llanos,Female,2020,146.8321551569677
5,Llanos,Female,2021,183.688134054704
5,Llanos,Male,2015,362.7649396742082
5,Llanos,Male,2016,347.6537926633195
5,Llanos,Male,2017,312.29867001484206
5,Llanos,Male,2018,317.5497110566818
5,Llanos,Male,2019,328.7452362676486
5,Llanos,Male,2020,366.87813974482015
5,Llanos,Male,2021,507.77226484284915
6,Amazonía,Female,2015,126.01714677524488
6,Amazonía,Female,2016,117.00227107592204
6,Amazonía,Female,2017,139.96890168652035
6,Amazonía,Female,2018,104.24383060377527
6,Amazonía,Female,2019,118.16575662318435
6,Amazonía,Female,2020,146.00728686917597
6,Amazonía,Female,2021,172.8402770996602
6,Amazonía,Male,2015,315.0428669381122
6,Amazonía,Male,2016,309.6495149924704
6,Amazonía,Male,2017,326.00351785214866
6,Amazonía,Male,2018,343.7904413405328
6,Amazonía,Male,2019,330.5060404945429
6,Amazonía,Male,2020,427.206506024626
6,Amazonía,Male,2021,478.0001854229192
