"","mun","nat","nat_name","reg","reg_name","dep","dep_name","mun_name","PDET","mun_name_check","area","area_2"
"1",94001,1,"Colombia",6,"Amazonía",94,"Guainía","Inírida",0,"Inírida",0,15867.4753069574
"2",68370,1,"Colombia",4,"Central",68,"Santander","Jordán",0,"Jordán",33,40.6573595862502
"3",68013,1,"Colombia",4,"Central",68,"Santander","Aguada",0,"Aguada",41,76.1359812171175
"4",15106,1,"Colombia",4,"Central",15,"Boyacá","Briceño",0,"Briceño",49,65.4063683181973
"5",52480,1,"Colombia",3,"Pacífica",52,"Nariño","Nariño",0,"Nariño",50,25.6080038939239
"6",5266,1,"Colombia",2,"Eje cafetero y Antioquia",5,"Antioquia","Envigado",0,"Envigado",51,78.9366595818459
"7",25126,1,"Colombia",4,"Central",25,"Cundinamarca","Cajicá",0,"Cajicá",53,40.3456654399764
"8",15832,1,"Colombia",4,"Central",15,"Boyacá","Tununguá",0,"Tununguá",54,29.4560278134417
"9",25483,1,"Colombia",4,"Central",25,"Cundinamarca","Nariño",0,"Nariño",54,42.5806872727942
"10",68077,1,"Colombia",4,"Central",68,"Santander","Barbosa",0,"Barbosa",57,43.2301828589781
"11",86749,1,"Colombia",6,"Amazonía",86,"Putumayo","Sibundoy",0,"Sibundoy",64,96.0867887295497
"12",52022,1,"Colombia",3,"Pacífica",52,"Nariño","Aldana",0,"Aldana",65,46.3786061238214
"13",15676,1,"Colombia",4,"Central",15,"Boyacá","San Miguel De Sema",0,"San Miguel de Sema",70,93.6038631685254
"14",15325,1,"Colombia",4,"Central",15,"Boyacá","Guayatá",0,"Guayatá",81,98.3133036759769
"15",52019,1,"Colombia",3,"Pacífica",52,"Nariño","Albán",0,"Albán",83,37.9555449737226
"16",5315,1,"Colombia",2,"Eje cafetero y Antioquia",5,"Antioquia","Guadalupe",0,"Guadalupe",88,117.501792097429
"17",17616,1,"Colombia",2,"Eje cafetero y Antioquia",17,"Caldas","Risaralda",0,"Risaralda",101,84.1422125309119
"18",15401,1,"Colombia",4,"Central",15,"Boyacá","La Victoria",0,"La Victoria",111,29.6242452245685
"19",15442,1,"Colombia",4,"Central",15,"Boyacá","Maripí",0,"Maripí",112,159.700865989839
"20",68444,1,"Colombia",4,"Central",68,"Santander","Matanza",0,"Matanza",113,235.158123937003
"21",66318,1,"Colombia",2,"Eje cafetero y Antioquia",66,"Risaralda","Guática",0,"Guática",114,94.5388579396345
"22",68245,1,"Colombia",4,"Central",68,"Santander","El Guacamayo",0,"El Guacamayo",122,96.7232832312057
"23",73152,1,"Colombia",4,"Central",73,"Tolima","Casabianca",0,"Casabianca",123,176.755633500341
"24",15092,1,"Colombia",4,"Central",15,"Boyacá","Betéitiva",0,"Betéitiva",124,102.60357869947
"25",19622,1,"Colombia",3,"Pacífica",19,"Cauca","Rosas",0,"Rosas",130,167.100815247069
"26",13673,1,"Colombia",1,"Caribe",13,"Bolívar","Santa Catalina",0,"Santa Catalina",139,168.457559214421
"27",27810,1,"Colombia",3,"Pacífica",27,"Chocó","Unión Panamericana",0,"Unión Panamericana",147,180.836504257585
"28",13838,1,"Colombia",1,"Caribe",13,"Bolívar","Turbaná",0,"Turbaná",148,185.405983719704
"29",41483,1,"Colombia",4,"Central",41,"Huila","Nátaga",0,"Nátaga",156,128.98253551475
"30",15621,1,"Colombia",4,"Central",15,"Boyacá","Rondón",0,"Rondón",159,206.150073258915
"31",50686,1,"Colombia",5,"Llanos",50,"Meta","San Juanito",0,"San Juanito",162,246.834192572973
"32",76036,1,"Colombia",3,"Pacífica",76,"Valle del Cauca","Andalucía",0,"Andalucía",162,112.496431730965
"33",15681,1,"Colombia",4,"Central",15,"Boyacá","San Pablo De Borbur",0,"San Pablo de Borbur",165,201.350463276735
"34",76377,1,"Colombia",3,"Pacífica",76,"Valle del Cauca","La Cumbre",0,"La Cumbre",165,258.221409913843
"35",15740,1,"Colombia",4,"Central",15,"Boyacá","Siachoque",0,"Siachoque",167,119.488324726846
"36",5206,1,"Colombia",2,"Eje cafetero y Antioquia",5,"Antioquia","Concepción",0,"Concepción",169,206.129578230025
"37",5658,1,"Colombia",2,"Eje cafetero y Antioquia",5,"Antioquia","San José De La Montaña",0,"San José de La Montaña",173,128.134324315392
"38",68705,1,"Colombia",4,"Central",68,"Santander","Santa Bárbara",0,"Santa Bárbara",185,223.183245520324
"39",15244,1,"Colombia",4,"Central",15,"Boyacá","El Cocuy",0,"El Cocuy",191,242.350757484691
"40",76828,1,"Colombia",3,"Pacífica",76,"Valle del Cauca","Trujillo",0,"Trujillo",232,309.490570034877
"41",15667,1,"Colombia",4,"Central",15,"Boyacá","San Luis De Gaceno",0,"San Luis de Gaceno",247,475.051852406373
"42",76606,1,"Colombia",3,"Pacífica",76,"Valle del Cauca","Restrepo",0,"Restrepo",248,136.264566535858
"43",52258,1,"Colombia",3,"Pacífica",52,"Nariño","El Tablón De Gómez",0,"El Tablón de Gómez",255,308.296365728658
"44",76243,1,"Colombia",3,"Pacífica",76,"Valle del Cauca","El Águila",0,"El Águila",255,191.65460785622
"45",68377,1,"Colombia",4,"Central",68,"Santander","La Belleza",0,"La Belleza",259,332.545947498393
"46",76246,1,"Colombia",3,"Pacífica",76,"Valle del Cauca","El Cairo",0,"El Cairo",274,217.897540402129
"47",52560,1,"Colombia",3,"Pacífica",52,"Nariño","Potosí",0,"Potosí",288,383.86674444165
"48",50606,1,"Colombia",5,"Llanos",50,"Meta","Restrepo",0,"Restrepo",289,362.62963526712
"49",41660,1,"Colombia",4,"Central",41,"Huila","Saladoblanco",0,"Saladoblanco",290,466.929671387093
"50",76250,1,"Colombia",3,"Pacífica",76,"Valle del Cauca","El Dovio",0,"El Dovio",297,237.55074344678
"51",15550,1,"Colombia",4,"Central",15,"Boyacá","Pisba",0,"Pisba",298,464.520089081342
"52",27160,1,"Colombia",3,"Pacífica",27,"Chocó","Cértegui",0,"Cértegui",301,423.702416642964
"53",19075,1,"Colombia",3,"Pacífica",19,"Cauca","Balboa",1,"Balboa",329,415.090281685487
"54",41518,1,"Colombia",4,"Central",41,"Huila","Paicol",0,"Paicol",340,281.14483114675
"55",76041,1,"Colombia",3,"Pacífica",76,"Valle del Cauca","Ansermanuevo",0,"Ansermanuevo",361,300.595963346503
"56",15516,1,"Colombia",4,"Central",15,"Boyacá","Paipa",0,"Paipa",395,306.882446156978
"57",41615,1,"Colombia",4,"Central",41,"Huila","Rivera",0,"Rivera",404,250.575792588068
"58",19473,1,"Colombia",3,"Pacífica",19,"Cauca","Morales",1,"Morales",418,514.246807097315
"59",5642,1,"Colombia",2,"Eje cafetero y Antioquia",5,"Antioquia","Salgar",0,"Salgar",423,287.509306816132
"60",13655,1,"Colombia",1,"Caribe",13,"Bolívar","San Jacinto Del Cauca",0,"San Jacinto del Cauca",428,570.445730382255
"61",86760,1,"Colombia",6,"Amazonía",86,"Putumayo","Santiago",0,"Santiago",445,338.286533896384
"62",76863,1,"Colombia",3,"Pacífica",76,"Valle del Cauca","Versalles",0,"Versalles",462,201.010958577078
"63",5665,1,"Colombia",2,"Eje cafetero y Antioquia",5,"Antioquia","San Pedro De Urabá",1,"San Pedro de Uraba",482,607.25366484976
"64",41357,1,"Colombia",4,"Central",41,"Huila","Íquira",0,"Iquira",516,355.813344999546
"65",15690,1,"Colombia",4,"Central",15,"Boyacá","Santa María",0,"Santa María",532,308.311987533956
"66",27787,1,"Colombia",3,"Pacífica",27,"Chocó","Tadó",0,"Tadó",576,710.939920772999
"67",15533,1,"Colombia",4,"Central",15,"Boyacá","Paya",0,"Paya",584,444.63470174392
"68",41801,1,"Colombia",4,"Central",41,"Huila","Teruel",0,"Teruel",589,480.637639133591
"69",54344,1,"Colombia",4,"Central",54,"Norte de Santander","Hacarí",1,"Hacarí",597,419.67968944412
"70",27205,1,"Colombia",3,"Pacífica",27,"Chocó","Condoto",1,"Condoto",626,468.063994632626
"71",76736,1,"Colombia",3,"Pacífica",76,"Valle del Cauca","Sevilla",0,"Sevilla",639,532.04793512382
"72",50110,1,"Colombia",5,"Llanos",50,"Meta","Barranca De Upía",0,"Barranca de Upía",668,405.037592271085
"73",68307,1,"Colombia",4,"Central",68,"Santander","Girón",0,"Girón",681,494.045445447507
"74",19355,1,"Colombia",3,"Pacífica",19,"Cauca","Inzá",0,"Inzá",685,867.165978290212
"75",41359,1,"Colombia",4,"Central",41,"Huila","Isnos",0,"Isnos",697,375.145235828895
"76",41006,1,"Colombia",4,"Central",41,"Huila","Acevedo",0,"Acevedo",700,524.979802368763
"77",18785,1,"Colombia",6,"Amazonía",18,"Caquetá","Solita",1,"Solita",747,479.568536796435
"78",66456,1,"Colombia",2,"Eje cafetero y Antioquia",66,"Risaralda","Mistrató",0,"Mistrató",755,569.372978303885
"79",52678,1,"Colombia",3,"Pacífica",52,"Nariño","Samaniego",0,"Samaniego",765,605.520917481447
"80",54003,1,"Colombia",4,"Central",54,"Norte de Santander","Ábrego",0,"Abrego",917,1381.92974758232
"81",27660,1,"Colombia",3,"Pacífica",27,"Chocó","San José Del Palmar",0,"San José del Palmar",940,1584.39527886855
"82",52520,1,"Colombia",3,"Pacífica",52,"Nariño","Francisco Pizarro",1,"Francisco Pizarro",956,527.570340489445
"83",86001,1,"Colombia",6,"Amazonía",86,"Putumayo","Mocoa",1,"Mocoa",1030,1305.42647633015
"84",27495,1,"Colombia",3,"Pacífica",27,"Chocó","Nuquí",0,"Nuquí",1033,719.801157040623
